Rank,PlayerName,Team,Position,Age,GamesPlayed,GamesStarted,CompletedPasses,AttemptedPasses,PassingYards,PassingTouchdowns,Interceptions,RushAttempts,RushYards,YardsPerRush,RushingTouchdowns,Targets,Receptions,ReceivingYards,YardsPerRecepetion,ReceivingTouchdowns,Fumbles,FL,TotalTouchdowns,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PositionRank,OverallRank,-9999
12,Justin Jefferson,MIN,WR,23,6,6,1,1,23,0,0,1,3,3,1,63,46,654,14.22,2,0,0,3,1,,87,132.6,135.6,109.6,39,3,12,JeffJu00
13,Taysom Hill,NOR,TE,32,6,2,5,7,86,1,0,29,276,9.52,5,2,2,5,2.5,1,1,0,6,,,72,73.5,76.5,72.5,37,3,13,HillTa00
14,Tyreek Hill,MIA,WR,28,6,6,0,0,0,0,0,4,18,4.5,0,65,50,701,14.02,2,1,0,2,,,84,133.9,136.9,108.9,37,4,14,HillTy00
15,Kyler Murray,ARI,QB,25,7,7,184,281,1667,7,4,45,263,5.84,2,0,0,0,,0,5,1,2,1,3,131,131,142,135,34,5,15,MurrKy00
16,Christian McCaffrey,CAR,RB,26,6,6,0,0,0,0,0,85,393,4.62,2,43,33,277,8.39,1,0,0,3,,,85,118,124,101.5,33,4,16,McCaCh01
17,Joe Burrow,CIN,QB,26,6,6,152,228,1616,12,5,27,110,4.07,2,0,0,0,,0,3,1,2,,2,128,127.6,139.6,132.6,31,6,17,BurrJo01
18,Derrick Henry,TEN,RB,28,5,5,0,0,0,0,0,104,408,3.92,5,14,10,121,12.1,0,1,0,5,,,83,92.9,98.9,87.9,31,6,18,HenrDe00
19,Breece Hall,NYJ,RB,21,6,1,0,0,0,0,0,76,391,5.14,3,31,19,218,11.47,1,1,1,4,,,83,101.9,108.9,92.4,31,5,19,HallBr03
20,Leonard Fournette,TAM,RB,27,6,6,0,0,0,0,0,95,343,3.61,1,36,32,232,7.25,3,0,0,4,,,82,113.5,119.5,97.5,29,7,20,FourLe00
21,Josh Jacobs,LVR,RB,24,5,5,0,0,0,0,0,91,490,5.38,3,18,17,129,7.59,0,1,0,3,,,80,96.9,102.9,88.4,28,8,21,JacoJo01
22,Miles Sanders,PHI,RB,25,6,6,0,0,0,0,0,105,485,4.62,4,13,11,42,3.82,0,0,0,4,,,77,87.7,90.7,82.2,25,9,22,SandMi01
23,Davante Adams,LVR,WR,30,5,5,0,0,0,0,0,2,0,0,0,54,29,414,14.28,5,1,0,5,,,71,100.4,103.4,85.9,25,5,23,AdamDa01
24,Jaylen Waddle,MIA,WR,24,6,6,0,0,0,0,0,2,17,8.5,0,49,30,533,17.77,3,1,1,3,,,71,101,105,86,25,6,24,WaddJa00
25,Dalvin Cook,MIN,RB,27,6,6,0,0,0,0,0,94,450,4.79,4,16,12,80,6.67,0,1,1,4,,,75,87,91,81,23,10,25,CookDa01
26,Ja'Marr Chase,CIN,WR,22,6,6,0,0,0,0,0,4,2,0.5,0,63,39,475,12.18,4,1,1,4,,,70,108.7,112.7,89.2,23,7,26,ChasJa00
27,Jamaal Williams,DET,RB,27,5,2,0,0,0,0,0,77,332,4.31,6,8,5,30,6,0,0,0,6,,,72,77.2,80.2,74.7,21,11,27,WillJa06
28,Marquise Brown,ARI,WR,25,6,6,0,0,0,0,0,0,0,,0,64,43,485,11.28,3,1,0,3,,,67,109.5,112.5,88,20,8,28,BrowMa04
29,Rhamondre Stevenson,NWE,RB,24,6,1,0,0,0,0,0,87,448,5.15,3,21,17,86,5.06,0,0,0,3,,,71,88.4,91.4,79.9,20,12,29,StevRh00
